variable,regressor__n_estimators,regressor__learning_rate,regressor__max_depth,regressor__min_samples_leaf,regressor__subsample,regressor__max_features,score,std
dwi_sin,100,0.05,None,10,1.0,sqrt,-0.47705824,0.0616512
dwi_sin,100,0.05,None,10,1.0,log2,-0.47685183,0.06144276
dwi_sin,100,0.05,None,10,0.8,sqrt,-0.47791329,0.06089944
dwi_sin,100,0.05,None,10,0.8,log2,-0.47975343,0.06182932
dwi_sin,100,0.05,None,20,1.0,sqrt,-0.47937717,0.06036881
dwi_sin,100,0.05,None,20,1.0,log2,-0.48090338,0.0623267
dwi_sin,100,0.05,None,20,0.8,sqrt,-0.47620507,0.06360055
dwi_sin,100,0.05,None,20,0.8,log2,-0.47654257,0.06176619
dwi_sin,100,0.05,5.0,10,1.0,sqrt,-0.47812306,0.06439708
dwi_sin,100,0.05,5.0,10,1.0,log2,-0.4788234,0.06139512
dwi_sin,100,0.05,5.0,10,0.8,sqrt,-0.47867148,0.0610726
dwi_sin,100,0.05,5.0,10,0.8,log2,-0.48027657,0.06154447
dwi_sin,100,0.05,5.0,20,1.0,sqrt,-0.47592436,0.0616889
dwi_sin,100,0.05,5.0,20,1.0,log2,-0.47938393,0.06370932
dwi_sin,100,0.05,5.0,20,0.8,sqrt,-0.47571927,0.06208002
dwi_sin,100,0.05,5.0,20,0.8,log2,-0.48100738,0.06417045
dwi_sin,100,0.1,None,10,1.0,sqrt,-0.47796555,0.05985241
dwi_sin,100,0.1,None,10,1.0,log2,-0.48028276,0.06151911
dwi_sin,100,0.1,None,10,0.8,sqrt,-0.47606474,0.06113393
dwi_sin,100,0.1,None,10,0.8,log2,-0.47509338,0.06454467
dwi_sin,100,0.1,None,20,1.0,sqrt,-0.47830127,0.06241897
dwi_sin,100,0.1,None,20,1.0,log2,-0.47922855,0.062063
dwi_sin,100,0.1,None,20,0.8,sqrt,-0.47903,0.06204418
dwi_sin,100,0.1,None,20,0.8,log2,-0.48067646,0.061697
dwi_sin,100,0.1,5.0,10,1.0,sqrt,-0.46442486,0.06319333
dwi_sin,100,0.1,5.0,10,1.0,log2,-0.46438425,0.06590767
dwi_sin,100,0.1,5.0,10,0.8,sqrt,-0.4677306,0.06590647
dwi_sin,100,0.1,5.0,10,0.8,log2,-0.46882947,0.06773905
dwi_sin,100,0.1,5.0,20,1.0,sqrt,-0.4720129,0.06482278
dwi_sin,100,0.1,5.0,20,1.0,log2,-0.47046361,0.06712173
dwi_sin,100,0.1,5.0,20,0.8,sqrt,-0.46524978,0.06421061
dwi_sin,100,0.1,5.0,20,0.8,log2,-0.46574913,0.06395423
dwi_sin,200,0.05,None,10,1.0,sqrt,-0.46711826,0.06365013
dwi_sin,200,0.05,None,10,1.0,log2,-0.46753279,0.06532109
dwi_sin,200,0.05,None,10,0.8,sqrt,-0.46844764,0.06656775
dwi_sin,200,0.05,None,10,0.8,log2,-0.47065493,0.06531504
