variable,regressor,regressor__n_neighbors,pca,scaler,regressor__weights,regressor__metric,score,std
dwi_sin,KNeighborsRegressor,1,None,None,uniform,euclidean,-0.64587882,0.05334749
dwi_sin,KNeighborsRegressor,1,None,None,uniform,manhattan,-0.65090997,0.05014223
dwi_sin,KNeighborsRegressor,1,None,None,uniform,chebyshev,-0.66128526,0.05060052
dwi_sin,KNeighborsRegressor,1,None,None,distance,euclidean,-0.64587882,0.05334749
dwi_sin,KNeighborsRegressor,1,None,None,distance,manhattan,-0.65090997,0.05014223
dwi_sin,KNeighborsRegressor,1,None,None,distance,chebyshev,-0.66128526,0.05060052
dwi_sin,KNeighborsRegressor,1,None,StandardScaler,uniform,euclidean,-0.54825795,0.04901727
dwi_sin,KNeighborsRegressor,1,None,StandardScaler,uniform,manhattan,-0.558801,0.05682606
dwi_sin,KNeighborsRegressor,1,None,StandardScaler,uniform,chebyshev,-0.5682812,0.05350793
dwi_sin,KNeighborsRegressor,1,None,StandardScaler,distance,euclidean,-0.54776781,0.04885218
dwi_sin,KNeighborsRegressor,1,None,StandardScaler,distance,manhattan,-0.5591757,0.05622375
dwi_sin,KNeighborsRegressor,1,None,StandardScaler,distance,chebyshev,-0.56844732,0.05315701
dwi_sin,KNeighborsRegressor,1,None,RobustScaler,uniform,euclidean,-0.64892444,0.05390347
dwi_sin,KNeighborsRegressor,1,None,RobustScaler,uniform,manhattan,-0.654627,0.05452307
dwi_sin,KNeighborsRegressor,1,None,RobustScaler,uniform,chebyshev,-0.65863002,0.0630371
dwi_sin,KNeighborsRegressor,1,None,RobustScaler,distance,euclidean,-0.64892444,0.05390347
dwi_sin,KNeighborsRegressor,1,None,RobustScaler,distance,manhattan,-0.654627,0.05452307
dwi_sin,KNeighborsRegressor,1,None,RobustScaler,distance,chebyshev,-0.65863002,0.0630371
dwi_sin,KNeighborsRegressor,1,PCA(n_components=0.95),None,uniform,euclidean,-0.55048119,0.04488191
dwi_sin,KNeighborsRegressor,1,PCA(n_components=0.95),None,uniform,manhattan,-0.56540063,0.0568605
dwi_sin,KNeighborsRegressor,1,PCA(n_components=0.95),None,uniform,chebyshev,-0.56556476,0.05759624
dwi_sin,KNeighborsRegressor,1,PCA(n_components=0.95),None,distance,euclidean,-0.55056844,0.0448202
dwi_sin,KNeighborsRegressor,1,PCA(n_components=0.95),None,distance,manhattan,-0.56567754,0.05633429
dwi_sin,KNeighborsRegressor,1,PCA(n_components=0.95),None,distance,chebyshev,-0.56578513,0.05764658
dwi_sin,KNeighborsRegressor,1,PCA(n_components=0.95),StandardScaler,uniform,euclidean,-0.70801729,0.0430593
dwi_sin,KNeighborsRegressor,1,PCA(n_components=0.95),StandardScaler,uniform,manhattan,-0.6581181,0.03841528
dwi_sin,KNeighborsRegressor,1,PCA(n_components=0.95),StandardScaler,uniform,chebyshev,-0.6908541,0.05190087
dwi_sin,KNeighborsRegressor,1,PCA(n_components=0.95),StandardScaler,distance,euclidean,-0.70801729,0.0430593
dwi_sin,KNeighborsRegressor,1,PCA(n_components=0.95),StandardScaler,distance,manhattan,-0.6581181,0.03841528
dwi_sin,KNeighborsRegressor,1,PCA(n_components=0.95),StandardScaler,distance,chebyshev,-0.6908541,0.05190087
dwi_sin,KNeighborsRegressor,1,PCA(n_components=0.95),RobustScaler,uniform,euclidean,-0.5968489,0.04296293
dwi_sin,KNeighborsRegressor,1,PCA(n_components=0.95),RobustScaler,uniform,manhattan,-0.57302673,0.0567747
dwi_sin,KNeighborsRegressor,1,PCA(n_components=0.95),RobustScaler,uniform,chebyshev,-0.59850372,0.06339001
dwi_sin,KNeighborsRegressor,1,PCA(n_components=0.95),RobustScaler,distance,euclidean,-0.59571829,0.04251043
dwi_sin,KNeighborsRegressor,1,PCA(n_components=0.95),RobustScaler,distance,manhattan,-0.57207421,0.05655234
dwi_sin,KNeighborsRegressor,1,PCA(n_components=0.95),RobustScaler,distance,chebyshev,-0.59733763,0.06323645
dwi_sin,KNeighborsRegressor,3,None,None,uniform,euclidean,-0.64016574,0.04967773
dwi_sin,KNeighborsRegressor,3,None,None,uniform,manhattan,-0.65463122,0.04777961
dwi_sin,KNeighborsRegressor,3,None,None,uniform,chebyshev,-0.66939954,0.06493786
dwi_sin,KNeighborsRegressor,3,None,None,distance,euclidean,-0.64016574,0.04967773
dwi_sin,KNeighborsRegressor,3,None,None,distance,manhattan,-0.65463122,0.04777961
dwi_sin,KNeighborsRegressor,3,None,None,distance,chebyshev,-0.66939954,0.06493786
dwi_sin,KNeighborsRegressor,3,None,StandardScaler,uniform,euclidean,-0.55204801,0.05492187
dwi_sin,KNeighborsRegressor,3,None,StandardScaler,uniform,manhattan,-0.55824093,0.05671994
dwi_sin,KNeighborsRegressor,3,None,StandardScaler,uniform,chebyshev,-0.57536243,0.06011621
dwi_sin,KNeighborsRegressor,3,None,StandardScaler,distance,euclidean,-0.55198337,0.05426922
dwi_sin,KNeighborsRegressor,3,None,StandardScaler,distance,manhattan,-0.55886455,0.05569602
dwi_sin,KNeighborsRegressor,3,None,StandardScaler,distance,chebyshev,-0.57514395,0.05965591
dwi_sin,KNeighborsRegressor,3,None,RobustScaler,uniform,euclidean,-0.63972786,0.04714352
dwi_sin,KNeighborsRegressor,3,None,RobustScaler,uniform,manhattan,-0.64910418,0.05345019
dwi_sin,KNeighborsRegressor,3,None,RobustScaler,uniform,chebyshev,-0.66138003,0.05734971
dwi_sin,KNeighborsRegressor,3,None,RobustScaler,distance,euclidean,-0.63972786,0.04714352
dwi_sin,KNeighborsRegressor,3,None,RobustScaler,distance,manhattan,-0.64910418,0.05345019
dwi_sin,KNeighborsRegressor,3,None,RobustScaler,distance,chebyshev,-0.66138003,0.05734971
dwi_sin,KNeighborsRegressor,3,PCA(n_components=0.95),None,uniform,euclidean,-0.54917681,0.05347321
