variable,regressor__n_estimators,regressor__max_depth,regressor__min_samples_split,regressor__min_samples_leaf,regressor__max_features,score,std,regressor
dwi_sin,100,None,2,1,sqrt,-0.4709301,0.06135831,RandomForestRegressor
dwi_sin,100,None,2,1,log2,-0.47079337,0.06016378,RandomForestRegressor
dwi_sin,100,None,2,4,sqrt,-0.47002834,0.06151006,RandomForestRegressor
dwi_sin,100,None,2,4,log2,-0.47242413,0.06118503,RandomForestRegressor
dwi_sin,100,None,10,1,sqrt,-0.46980048,0.06074532,RandomForestRegressor
dwi_sin,100,None,10,1,log2,-0.47099665,0.06154111,RandomForestRegressor
dwi_sin,100,None,10,4,sqrt,-0.46711095,0.06204333,RandomForestRegressor
dwi_sin,100,None,10,4,log2,-0.46816933,0.06300155,RandomForestRegressor
dwi_sin,100,20.0,2,1,sqrt,-0.46757839,0.06243992,RandomForestRegressor
dwi_sin,100,20.0,2,1,log2,-0.4674223,0.06086291,RandomForestRegressor
dwi_sin,100,20.0,2,4,sqrt,-0.4667208,0.06139248,RandomForestRegressor
dwi_sin,100,20.0,2,4,log2,-0.46665639,0.06263284,RandomForestRegressor
dwi_sin,100,20.0,10,1,sqrt,-0.47211243,0.06066133,RandomForestRegressor
dwi_sin,100,20.0,10,1,log2,-0.470314,0.06118315,RandomForestRegressor
dwi_sin,100,20.0,10,4,sqrt,-0.4698032,0.06185536,RandomForestRegressor
dwi_sin,100,20.0,10,4,log2,-0.47068447,0.06121692,RandomForestRegressor
dwi_sin,200,None,2,1,sqrt,-0.4700163,0.0617243,RandomForestRegressor
dwi_sin,200,None,2,1,log2,-0.47016273,0.06152479,RandomForestRegressor
dwi_sin,200,None,2,4,sqrt,-0.46708043,0.06099502,RandomForestRegressor
dwi_sin,200,None,2,4,log2,-0.46791625,0.06298372,RandomForestRegressor
dwi_sin,200,None,10,1,sqrt,-0.46588716,0.06218205,RandomForestRegressor
dwi_sin,200,None,10,1,log2,-0.46543268,0.06113738,RandomForestRegressor
dwi_sin,200,None,10,4,sqrt,-0.46612273,0.06290602,RandomForestRegressor
dwi_sin,200,None,10,4,log2,-0.46720841,0.06177119,RandomForestRegressor
dwi_sin,200,20.0,2,1,sqrt,-0.47195256,0.06226995,RandomForestRegressor
dwi_sin,200,20.0,2,1,log2,-0.47103776,0.0621755,RandomForestRegressor
dwi_sin,200,20.0,2,4,sqrt,-0.47059485,0.06116399,RandomForestRegressor
dwi_sin,200,20.0,2,4,log2,-0.47243649,0.06221948,RandomForestRegressor
dwi_sin,200,20.0,10,1,sqrt,-0.47045737,0.06039904,RandomForestRegressor
dwi_sin,200,20.0,10,1,log2,-0.47016072,0.06212061,RandomForestRegressor
dwi_sin,200,20.0,10,4,sqrt,-0.46826472,0.06226452,RandomForestRegressor
dwi_sin,200,20.0,10,4,log2,-0.46679712,0.06245999,RandomForestRegressor
dwi_sin,300,None,2,1,sqrt,-0.46755823,0.06205819,RandomForestRegressor
dwi_sin,300,None,2,1,log2,-0.46908613,0.06143886,RandomForestRegressor
dwi_sin,300,None,2,4,sqrt,-0.46693479,0.06283137,RandomForestRegressor
dwi_sin,300,None,2,4,log2,-0.46731506,0.0619537,RandomForestRegressor
dwi_sin,300,None,10,1,sqrt,-0.4725002,0.05963611,RandomForestRegressor
dwi_sin,300,None,10,1,log2,-0.47054472,0.06179532,RandomForestRegressor
dwi_sin,300,None,10,4,sqrt,-0.47043264,0.0601713,RandomForestRegressor
dwi_sin,300,None,10,4,log2,-0.47122858,0.06180571,RandomForestRegressor
dwi_sin,300,20.0,2,1,sqrt,-0.4695018,0.06102961,RandomForestRegressor
dwi_sin,300,20.0,2,1,log2,-0.46901466,0.06174377,RandomForestRegressor
dwi_sin,300,20.0,2,4,sqrt,-0.46779977,0.06298553,RandomForestRegressor
dwi_sin,300,20.0,2,4,log2,-0.46698843,0.06198938,RandomForestRegressor
dwi_sin,300,20.0,10,1,sqrt,-0.46740002,0.06240008,RandomForestRegressor
dwi_sin,300,20.0,10,1,log2,-0.4685521,0.06163262,RandomForestRegressor
dwi_sin,300,20.0,10,4,sqrt,-0.46689669,0.06214762,RandomForestRegressor
dwi_sin,300,20.0,10,4,log2,-0.46737141,0.06255716,RandomForestRegressor
dwi_sin,400,None,2,1,sqrt,-0.47098588,0.06093346,RandomForestRegressor
dwi_sin,400,None,2,1,log2,-0.4699195,0.06102487,RandomForestRegressor
dwi_sin,400,None,2,4,sqrt,-0.47062154,0.06123279,RandomForestRegressor
dwi_sin,400,None,2,4,log2,-0.47052242,0.0607198,RandomForestRegressor
dwi_sin,400,None,10,1,sqrt,-0.47014642,0.06072486,RandomForestRegressor
dwi_sin,400,None,10,1,log2,-0.47030136,0.06077405,RandomForestRegressor
dwi_sin,400,None,10,4,sqrt,-0.466983,0.06247062,RandomForestRegressor
dwi_sin,400,None,10,4,log2,-0.46765746,0.06231816,RandomForestRegressor
dwi_sin,400,20.0,2,1,sqrt,-0.46672943,0.06205853,RandomForestRegressor
dwi_sin,400,20.0,2,1,log2,-0.46736062,0.06236036,RandomForestRegressor
dwi_sin,400,20.0,2,4,sqrt,-0.46690665,0.06274278,RandomForestRegressor
dwi_sin,400,20.0,2,4,log2,-0.46723761,0.06233213,RandomForestRegressor
