variable,scaler,regressor__hidden_layers,regressor__activation,regressor__lr,regressor__epochs,regressor__batch_size,score,std
dwi_sin,None,"(10,)",ReLU,0.0005,50,16,-0.46636275,0.05211346
dwi_sin,None,"(10,)",ReLU,0.0005,50,32,-0.47481205,0.0640379
dwi_sin,None,"(10,)",ReLU,0.0005,100,16,-0.4674015,0.05187619
dwi_sin,None,"(10,)",ReLU,0.0005,100,32,-0.47239068,0.06727881
dwi_sin,None,"(10,)",ReLU,0.001,50,16,-0.471873,0.06281135
dwi_sin,None,"(10,)",ReLU,0.001,50,32,-0.48507182,0.06680835
dwi_sin,None,"(10,)",ReLU,0.001,100,16,-0.46421321,0.05575377
dwi_sin,None,"(10,)",ReLU,0.001,100,32,-0.47529756,0.06374544
dwi_sin,None,"(10,)",ReLU,0.01,50,16,-0.46257651,0.05468647
dwi_sin,None,"(10,)",ReLU,0.01,50,32,-0.47762416,0.06346341
dwi_sin,None,"(10,)",ReLU,0.01,100,16,-0.46777425,0.05255977
dwi_sin,None,"(10,)",ReLU,0.01,100,32,-0.4828119,0.07264912
dwi_sin,None,"(10,)",Tanh,0.0005,50,16,-0.46624913,0.05773009
dwi_sin,None,"(10,)",Tanh,0.0005,50,32,-0.46759157,0.06485822
dwi_sin,None,"(10,)",Tanh,0.0005,100,16,-0.46343108,0.05942402
dwi_sin,None,"(10,)",Tanh,0.0005,100,32,-0.47423702,0.06279968
dwi_sin,None,"(10,)",Tanh,0.001,50,16,-0.47392517,0.06119044
dwi_sin,None,"(10,)",Tanh,0.001,50,32,-0.48355956,0.06736529
dwi_sin,None,"(10,)",Tanh,0.001,100,16,-0.4640555,0.0567264
dwi_sin,None,"(10,)",Tanh,0.001,100,32,-0.46981624,0.0610924
dwi_sin,None,"(10,)",Tanh,0.01,50,16,-0.46418771,0.05772406
dwi_sin,None,"(10,)",Tanh,0.01,50,32,-0.47071248,0.06356259
dwi_sin,None,"(10,)",Tanh,0.01,100,16,-0.47376373,0.05520996
dwi_sin,None,"(10,)",Tanh,0.01,100,32,-0.48368567,0.06290731
dwi_sin,None,"(10,)",Sigmoid,0.0005,50,16,-0.46583282,0.0538926
dwi_sin,None,"(10,)",Sigmoid,0.0005,50,32,-0.47272768,0.05883414
dwi_sin,None,"(10,)",Sigmoid,0.0005,100,16,-0.46442512,0.05657335
dwi_sin,None,"(10,)",Sigmoid,0.0005,100,32,-0.47789979,0.06424373
dwi_sin,None,"(10,)",Sigmoid,0.001,50,16,-0.4712262,0.06476895
dwi_sin,None,"(10,)",Sigmoid,0.001,50,32,-0.49075008,0.05642364
