variable,scaler,regressor__hidden_layer_sizes,regressor__activation,regressor__solver,regressor__learning_rate_init,regressor__alpha,regressor__batch_size,score,std
dwi_sin,None,"(10,)",relu,adam,0.001,0.0001,auto,-0.48382686,0.05592532
dwi_sin,None,"(10,)",relu,adam,0.001,0.0001,32,-0.4901889,0.06011481
dwi_sin,None,"(10,)",relu,adam,0.001,0.001,auto,-0.48976722,0.05587643
dwi_sin,None,"(10,)",relu,adam,0.001,0.001,32,-0.49093971,0.05697301
dwi_sin,None,"(10,)",relu,adam,0.01,0.0001,auto,-0.47782143,0.05584149
dwi_sin,None,"(10,)",relu,adam,0.01,0.0001,32,-0.4856415,0.06544969
dwi_sin,None,"(10,)",relu,adam,0.01,0.001,auto,-0.47456548,0.06108637
dwi_sin,None,"(10,)",relu,adam,0.01,0.001,32,-0.47882567,0.05225516
dwi_sin,None,"(10,)",tanh,adam,0.001,0.0001,auto,-0.48365626,0.05221457
dwi_sin,None,"(10,)",tanh,adam,0.001,0.0001,32,-0.4975566,0.06547985
dwi_sin,None,"(10,)",tanh,adam,0.001,0.001,auto,-0.48223779,0.06315531
dwi_sin,None,"(10,)",tanh,adam,0.001,0.001,32,-0.50135112,0.05748929
dwi_sin,None,"(10,)",tanh,adam,0.01,0.0001,auto,-0.48045748,0.0540535
dwi_sin,None,"(10,)",tanh,adam,0.01,0.0001,32,-0.48606925,0.06887143
dwi_sin,None,"(10,)",tanh,adam,0.01,0.001,auto,-0.47773888,0.06394577
dwi_sin,None,"(10,)",tanh,adam,0.01,0.001,32,-0.48046602,0.05709712
dwi_sin,None,"(10,)",logistic,adam,0.001,0.0001,auto,-0.48128146,0.05979936
dwi_sin,None,"(10,)",logistic,adam,0.001,0.0001,32,-0.49320964,0.05473419
dwi_sin,None,"(10,)",logistic,adam,0.001,0.001,auto,-0.48476348,0.05407668
dwi_sin,None,"(10,)",logistic,adam,0.001,0.001,32,-0.49664197,0.06141923
dwi_sin,None,"(10,)",logistic,adam,0.01,0.0001,auto,-0.48606856,0.0581262
dwi_sin,None,"(10,)",logistic,adam,0.01,0.0001,32,-0.49472168,0.06849208
dwi_sin,None,"(10,)",logistic,adam,0.01,0.001,auto,-0.48427686,0.05360624
dwi_sin,None,"(10,)",logistic,adam,0.01,0.001,32,-0.49048415,0.06889059
dwi_sin,StandardScaler,"(10,)",relu,adam,0.001,0.0001,auto,-0.48473285,0.05983663
dwi_sin,StandardScaler,"(10,)",relu,adam,0.001,0.0001,32,-0.49797304,0.05290725
dwi_sin,StandardScaler,"(10,)",relu,adam,0.001,0.001,auto,-0.48212551,0.05215185
dwi_sin,StandardScaler,"(10,)",relu,adam,0.001,0.001,32,-0.50217224,0.06751296
dwi_sin,StandardScaler,"(10,)",relu,adam,0.01,0.0001,auto,-0.48810568,0.05616161
dwi_sin,StandardScaler,"(10,)",relu,adam,0.01,0.0001,32,-0.48931777,0.05983722
dwi_sin,StandardScaler,"(10,)",relu,adam,0.01,0.001,auto,-0.4842737,0.05947273
dwi_sin,StandardScaler,"(10,)",relu,adam,0.01,0.001,32,-0.48624924,0.06259223
dwi_sin,StandardScaler,"(10,)",tanh,adam,0.001,0.0001,auto,-0.46888611,0.05631355
dwi_sin,StandardScaler,"(10,)",tanh,adam,0.001,0.0001,32,-0.47597606,0.05814578
dwi_sin,StandardScaler,"(10,)",tanh,adam,0.001,0.001,auto,-0.47413666,0.05750097
dwi_sin,StandardScaler,"(10,)",tanh,adam,0.001,0.001,32,-0.47521008,0.05521058
dwi_sin,StandardScaler,"(10,)",tanh,adam,0.01,0.0001,auto,-0.4702531,0.05887611
dwi_sin,StandardScaler,"(10,)",tanh,adam,0.01,0.0001,32,-0.47111564,0.05943767
dwi_sin,StandardScaler,"(10,)",tanh,adam,0.01,0.001,auto,-0.47916378,0.05599575
dwi_sin,StandardScaler,"(10,)",tanh,adam,0.01,0.001,32,-0.47606551,0.05714179
dwi_sin,StandardScaler,"(10,)",logistic,adam,0.001,0.0001,auto,-0.47262483,0.05638008
dwi_sin,StandardScaler,"(10,)",logistic,adam,0.001,0.0001,32,-0.47150192,0.05844108
dwi_sin,StandardScaler,"(10,)",logistic,adam,0.001,0.001,auto,-0.47233345,0.05728308
dwi_sin,StandardScaler,"(10,)",logistic,adam,0.001,0.001,32,-0.48030649,0.06413292
dwi_sin,StandardScaler,"(10,)",logistic,adam,0.01,0.0001,auto,-0.47323685,0.05297914
dwi_sin,StandardScaler,"(10,)",logistic,adam,0.01,0.0001,32,-0.47328006,0.06122148
dwi_sin,StandardScaler,"(10,)",logistic,adam,0.01,0.001,auto,-0.47464607,0.05296671
dwi_sin,StandardScaler,"(10,)",logistic,adam,0.01,0.001,32,-0.47981704,0.0530634
dwi_sin,None,"(100,)",relu,adam,0.001,0.0001,auto,-0.50301966,0.06553663
dwi_sin,None,"(100,)",relu,adam,0.001,0.0001,32,-0.52104961,0.06468413
dwi_sin,None,"(100,)",relu,adam,0.001,0.001,auto,-0.50651442,0.05535375
dwi_sin,None,"(100,)",relu,adam,0.001,0.001,32,-0.50399123,0.05266308
dwi_sin,None,"(100,)",relu,adam,0.01,0.0001,auto,-0.50176798,0.05357543
dwi_sin,None,"(100,)",relu,adam,0.01,0.0001,32,-0.51733218,0.06133282
dwi_sin,None,"(100,)",relu,adam,0.01,0.001,auto,-0.48985927,0.06760911
dwi_sin,None,"(100,)",relu,adam,0.01,0.001,32,-0.48509847,0.06178821
dwi_sin,None,"(100,)",tanh,adam,0.001,0.0001,auto,-0.50510866,0.05157905
dwi_sin,None,"(100,)",tanh,adam,0.001,0.0001,32,-0.51288626,0.06873769
dwi_sin,None,"(100,)",tanh,adam,0.001,0.001,auto,-0.50498443,0.05723576
dwi_sin,None,"(100,)",tanh,adam,0.001,0.001,32,-0.49696358,0.05365401
dwi_sin,None,"(100,)",tanh,adam,0.01,0.0001,auto,-0.50644833,0.05811748
dwi_sin,None,"(100,)",tanh,adam,0.01,0.0001,32,-0.52217306,0.06850111
dwi_sin,None,"(100,)",tanh,adam,0.01,0.001,auto,-0.47753558,0.06329417
dwi_sin,None,"(100,)",tanh,adam,0.01,0.001,32,-0.48562315,0.05080944
dwi_sin,None,"(100,)",logistic,adam,0.001,0.0001,auto,-0.51331808,0.05621591
dwi_sin,None,"(100,)",logistic,adam,0.001,0.0001,32,-0.50646655,0.05850926
