variable,regressor,scaler,pca,regressor_C,regressor_epsilon,regressor_kernel,regressor_loss,score,std
dwi_sin,LinSVR,None,None,0.1,0.01,lineal,None,-0.49386454,0.0
dwi_sin,LinSVR,None,None,0.1,0.1,lineal,None,-0.49873302,0.0
dwi_sin,LinSVR,None,None,0.1,0.2,lineal,None,-0.4850077,0.0
dwi_sin,LinSVR,None,None,0.1,1.0,lineal,None,-0.49011744,0.0
dwi_sin,LinSVR,None,None,1.0,0.01,lineal,None,-0.47598831,0.0
dwi_sin,LinSVR,None,None,1.0,0.1,lineal,None,-0.47885118,0.0
dwi_sin,LinSVR,None,None,1.0,0.2,lineal,None,-0.71634879,0.0
dwi_sin,LinSVR,None,None,1.0,1.0,lineal,None,-0.71634879,0.0
dwi_sin,LinSVR,None,None,10.0,0.01,lineal,None,-0.51054881,0.0
dwi_sin,LinSVR,None,None,10.0,0.1,lineal,None,-0.50873956,0.0
dwi_sin,LinSVR,None,None,10.0,0.2,lineal,None,-0.49441322,0.0
dwi_sin,LinSVR,None,None,10.0,1.0,lineal,None,-0.49816447,0.0
dwi_sin,LinSVR,None,None,100.0,0.01,lineal,None,-0.4903484,0.0
dwi_sin,LinSVR,None,None,100.0,0.1,lineal,None,-0.48751784,0.0
dwi_sin,LinSVR,None,None,100.0,0.2,lineal,None,-0.71634879,0.0
dwi_sin,LinSVR,None,None,100.0,1.0,lineal,None,-0.71634879,0.0
dwi_sin,LinSVR,None,PCA,0.1,0.01,lineal,None,-0.79872132,0.0
dwi_sin,LinSVR,None,PCA,0.1,0.1,lineal,None,-0.5203186,0.0
dwi_sin,LinSVR,None,PCA,0.1,0.2,lineal,None,-0.6374839,0.0
dwi_sin,LinSVR,None,PCA,0.1,1.0,lineal,None,-0.52492485,0.0
dwi_sin,LinSVR,None,PCA,1.0,0.01,lineal,None,-0.54510115,0.0
dwi_sin,LinSVR,None,PCA,1.0,0.1,lineal,None,-0.51257504,0.0
dwi_sin,LinSVR,None,PCA,1.0,0.2,lineal,None,-0.71634879,0.0
dwi_sin,LinSVR,None,PCA,1.0,1.0,lineal,None,-0.71634879,0.0
dwi_sin,LinSVR,None,PCA,10.0,0.01,lineal,None,-0.71414587,0.0
dwi_sin,LinSVR,None,PCA,10.0,0.1,lineal,None,-0.75067569,0.0
dwi_sin,LinSVR,None,PCA,10.0,0.2,lineal,None,-0.61664637,0.0
dwi_sin,LinSVR,None,PCA,10.0,1.0,lineal,None,-0.78158201,0.0
dwi_sin,LinSVR,None,PCA,100.0,0.01,lineal,None,-0.6853597,0.0
dwi_sin,LinSVR,None,PCA,100.0,0.1,lineal,None,-0.64996529,0.0
dwi_sin,LinSVR,None,PCA,100.0,0.2,lineal,None,-0.71634879,0.0
dwi_sin,LinSVR,None,PCA,100.0,1.0,lineal,None,-0.71634879,0.0
dwi_sin,LinSVR,StandardScaler,None,0.1,0.01,lineal,None,-0.50311222,0.0
dwi_sin,LinSVR,StandardScaler,None,0.1,0.1,lineal,None,-0.5046017,0.0
dwi_sin,LinSVR,StandardScaler,None,0.1,0.2,lineal,None,-0.49018366,0.0
dwi_sin,LinSVR,StandardScaler,None,0.1,1.0,lineal,None,-0.49039242,0.0
dwi_sin,LinSVR,StandardScaler,None,1.0,0.01,lineal,None,-0.47754736,0.0
dwi_sin,LinSVR,StandardScaler,None,1.0,0.1,lineal,None,-0.47662672,0.0
dwi_sin,LinSVR,StandardScaler,None,1.0,0.2,lineal,None,-0.71634879,0.0
dwi_sin,LinSVR,StandardScaler,None,1.0,1.0,lineal,None,-0.71634879,0.0
dwi_sin,LinSVR,StandardScaler,None,10.0,0.01,lineal,None,-0.50270544,0.0
dwi_sin,LinSVR,StandardScaler,None,10.0,0.1,lineal,None,-0.50499137,0.0
