variable,regressor,scaler,pca,regressor_C,regressor_epsilon,regressor_kernel,regressor_loss,score,std
dwi_sin,LinSVR,None,None,0.1,0.01,lineal,None,-1.3385521,0.0
dwi_sin,LinSVR,None,None,0.1,0.1,lineal,None,-0.61874748,0.0
dwi_sin,LinSVR,None,None,0.1,0.2,lineal,None,-0.73268816,0.0
dwi_sin,LinSVR,None,None,0.1,1.0,lineal,None,-0.62134413,0.0
dwi_sin,LinSVR,None,None,1.0,0.01,lineal,None,-0.97262139,0.0
dwi_sin,LinSVR,None,None,1.0,0.1,lineal,None,-0.58996023,0.0
dwi_sin,LinSVR,None,None,1.0,0.2,lineal,None,-0.71634879,0.0
dwi_sin,LinSVR,None,None,1.0,1.0,lineal,None,-0.71634879,0.0
dwi_sin,LinSVR,None,None,10.0,0.01,lineal,None,-1.26645317,0.0
dwi_sin,LinSVR,None,None,10.0,0.1,lineal,None,-0.91697856,0.0
dwi_sin,LinSVR,None,None,10.0,0.2,lineal,None,-1.53761256,0.0
dwi_sin,LinSVR,None,None,10.0,1.0,lineal,None,-0.92394412,0.0
dwi_sin,LinSVR,None,None,100.0,0.01,lineal,None,-1.56700398,0.0
dwi_sin,LinSVR,None,None,100.0,0.1,lineal,None,-0.92557713,0.0
dwi_sin,LinSVR,None,None,100.0,0.2,lineal,None,-0.71634879,0.0
dwi_sin,LinSVR,None,None,100.0,1.0,lineal,None,-0.71634879,0.0
dwi_sin,LinSVR,StandardScaler,None,0.1,0.01,lineal,None,-2.25765562,0.0
dwi_sin,LinSVR,StandardScaler,None,0.1,0.1,lineal,None,-1.05362007,0.0
dwi_sin,LinSVR,StandardScaler,None,0.1,0.2,lineal,None,-1.44764697,0.0
dwi_sin,LinSVR,StandardScaler,None,0.1,1.0,lineal,None,-1.1303226,0.0
dwi_sin,LinSVR,StandardScaler,None,1.0,0.01,lineal,None,-1.48289394,0.0
dwi_sin,LinSVR,StandardScaler,None,1.0,0.1,lineal,None,-0.82451544,0.0
dwi_sin,LinSVR,StandardScaler,None,1.0,0.2,lineal,None,-0.71634879,0.0
dwi_sin,LinSVR,StandardScaler,None,1.0,1.0,lineal,None,-0.71634879,0.0
dwi_sin,LinSVR,StandardScaler,None,10.0,0.01,lineal,None,-2.73717348,0.0
dwi_sin,LinSVR,StandardScaler,None,10.0,0.1,lineal,None,-1.2745804,0.0
dwi_sin,LinSVR,StandardScaler,None,10.0,0.2,lineal,None,-2.22970039,0.0
dwi_sin,LinSVR,StandardScaler,None,10.0,1.0,lineal,None,-0.88963679,0.0
dwi_sin,LinSVR,StandardScaler,None,100.0,0.01,lineal,None,-1.33861277,0.0
dwi_sin,LinSVR,StandardScaler,None,100.0,0.1,lineal,None,-0.92080193,0.0
dwi_sin,LinSVR,StandardScaler,None,100.0,0.2,lineal,None,-0.71634879,0.0
dwi_sin,LinSVR,StandardScaler,None,100.0,1.0,lineal,None,-0.71634879,0.0
dwi_sin,SVR,None,None,0.1,0.01,lineal,None,-0.50782385,0.0
dwi_sin,SVR,None,None,0.1,0.1,lineal,None,-0.4952407,0.0
dwi_sin,SVR,None,None,0.1,0.2,lineal,None,-0.50611943,0.0
dwi_sin,SVR,None,None,0.1,1.0,lineal,None,-0.49272791,0.0
dwi_sin,SVR,None,None,1.0,0.01,lineal,None,-0.50740315,0.0
dwi_sin,SVR,None,None,1.0,0.1,lineal,None,-0.49364212,0.0
dwi_sin,SVR,None,None,1.0,0.2,lineal,None,-0.71634879,0.0
dwi_sin,SVR,None,None,1.0,1.0,lineal,None,-0.71634879,0.0
dwi_sin,SVR,None,None,10.0,0.01,lineal,None,-0.48188274,0.0
dwi_sin,SVR,None,None,10.0,0.1,lineal,None,-0.54912458,0.0
dwi_sin,SVR,None,None,10.0,0.2,lineal,None,-0.48125389,0.0
dwi_sin,SVR,None,None,10.0,1.0,lineal,None,-0.55014712,0.0
dwi_sin,SVR,None,None,100.0,0.01,lineal,None,-0.48209761,0.0
dwi_sin,SVR,None,None,100.0,0.1,lineal,None,-0.53043023,0.0
dwi_sin,SVR,None,None,100.0,0.2,lineal,None,-0.71634879,0.0
dwi_sin,SVR,None,None,100.0,1.0,lineal,None,-0.71634879,0.0
dwi_sin,SVR,None,PCA,0.1,0.01,lineal,None,-0.49699341,0.0
dwi_sin,SVR,None,PCA,0.1,0.1,lineal,None,-0.72098373,0.0
dwi_sin,SVR,None,PCA,0.1,0.2,lineal,None,-0.49082588,0.0
dwi_sin,SVR,None,PCA,0.1,1.0,lineal,None,-0.68351509,0.0
dwi_sin,SVR,None,PCA,1.0,0.01,lineal,None,-0.49063269,0.0
dwi_sin,SVR,None,PCA,1.0,0.1,lineal,None,-0.68967004,0.0
dwi_sin,SVR,None,PCA,1.0,0.2,lineal,None,-0.71634879,0.0
dwi_sin,SVR,None,PCA,1.0,1.0,lineal,None,-0.71634879,0.0
dwi_sin,SVR,None,PCA,10.0,0.01,lineal,None,-0.55384447,0.0
dwi_sin,SVR,None,PCA,10.0,0.1,lineal,None,-1.6094519,0.0
dwi_sin,SVR,None,PCA,10.0,0.2,lineal,None,-0.54422123,0.0
