variable,regressor,scaler,pca,regressor_C,regressor_epsilon,regressor_kernel,regressor_loss,nystroem_n_components,score,std
dwi_sin,LinSVR,None,None,0.1,0.01,None,None,100,-0.47362363,0.06204788
dwi_sin,LinSVR,None,None,0.1,0.01,None,None,150,-0.47798335,0.07343714
dwi_sin,LinSVR,None,None,0.1,0.1,None,None,100,-0.47430914,0.06054203
dwi_sin,LinSVR,None,None,0.1,0.1,None,None,150,-0.47290183,0.07189244
dwi_sin,LinSVR,None,None,0.1,0.2,None,None,100,-0.46778891,0.0617572
dwi_sin,LinSVR,None,None,0.1,0.2,None,None,150,-0.46786857,0.06691389
dwi_sin,LinSVR,None,None,0.1,1.0,None,None,100,-0.71634879,0.01232881
dwi_sin,LinSVR,None,None,0.1,1.0,None,None,150,-0.71634879,0.01232881
dwi_sin,LinSVR,None,None,1.0,0.01,None,None,100,-0.47744997,0.06427973
dwi_sin,LinSVR,None,None,1.0,0.01,None,None,150,-0.48034942,0.07169584
dwi_sin,LinSVR,None,None,1.0,0.1,None,None,100,-0.47626644,0.06754507
dwi_sin,LinSVR,None,None,1.0,0.1,None,None,150,-0.4773049,0.07131225
dwi_sin,LinSVR,None,None,1.0,0.2,None,None,100,-0.46684976,0.06268755
dwi_sin,LinSVR,None,None,1.0,0.2,None,None,150,-0.46792666,0.06645778
dwi_sin,LinSVR,None,None,1.0,1.0,None,None,100,-0.71634879,0.01232881
dwi_sin,LinSVR,None,None,1.0,1.0,None,None,150,-0.71634879,0.01232881
dwi_sin,LinSVR,None,None,10.0,0.01,None,None,100,-0.48218078,0.06783529
dwi_sin,LinSVR,None,None,10.0,0.01,None,None,150,-0.47918065,0.07656816
dwi_sin,LinSVR,None,None,10.0,0.1,None,None,100,-0.47693508,0.06626555
dwi_sin,LinSVR,None,None,10.0,0.1,None,None,150,-0.47506957,0.07316103
dwi_sin,LinSVR,None,None,10.0,0.2,None,None,100,-0.47054334,0.06429753
dwi_sin,LinSVR,None,None,10.0,0.2,None,None,150,-0.47106501,0.07009757
dwi_sin,LinSVR,None,None,10.0,1.0,None,None,100,-0.71634879,0.01232881
dwi_sin,LinSVR,None,None,10.0,1.0,None,None,150,-0.71634879,0.01232881
dwi_sin,LinSVR,None,None,100.0,0.01,None,None,100,-0.48148347,0.06539242
dwi_sin,LinSVR,None,None,100.0,0.01,None,None,150,-0.48183458,0.07354526
dwi_sin,LinSVR,None,None,100.0,0.1,None,None,100,-0.47642673,0.06706754
dwi_sin,LinSVR,None,None,100.0,0.1,None,None,150,-0.47673875,0.06984909
dwi_sin,LinSVR,None,None,100.0,0.2,None,None,100,-0.47491258,0.06564061
dwi_sin,LinSVR,None,None,100.0,0.2,None,None,150,-0.47315287,0.07280057
dwi_sin,LinSVR,None,None,100.0,1.0,None,None,100,-0.71634879,0.01232881
dwi_sin,LinSVR,None,None,100.0,1.0,None,None,150,-0.71634879,0.01232881
dwi_sin,LinSVR,None,PCA,0.1,0.01,None,None,100,-0.7017534,0.02612776
dwi_sin,LinSVR,None,PCA,0.1,0.01,None,None,150,-0.65099511,0.02530861
dwi_sin,LinSVR,None,PCA,0.1,0.1,None,None,100,-0.70375264,0.03495345
dwi_sin,LinSVR,None,PCA,0.1,0.1,None,None,150,-0.66459666,0.03928178
dwi_sin,LinSVR,None,PCA,0.1,0.2,None,None,100,-0.70628721,0.04677858
dwi_sin,LinSVR,None,PCA,0.1,0.2,None,None,150,-0.6541073,0.04512113
dwi_sin,LinSVR,None,PCA,0.1,1.0,None,None,100,-0.71634879,0.01232881
dwi_sin,LinSVR,None,PCA,0.1,1.0,None,None,150,-0.71634879,0.01232881
dwi_sin,LinSVR,None,PCA,1.0,0.01,None,None,100,-0.68814603,0.02707757
dwi_sin,LinSVR,None,PCA,1.0,0.01,None,None,150,-0.62783778,0.0351094
dwi_sin,LinSVR,None,PCA,1.0,0.1,None,None,100,-0.69708855,0.03516922
dwi_sin,LinSVR,None,PCA,1.0,0.1,None,None,150,-0.63863191,0.04329369
dwi_sin,LinSVR,None,PCA,1.0,0.2,None,None,100,-0.69277402,0.04461441
dwi_sin,LinSVR,None,PCA,1.0,0.2,None,None,150,-0.63861627,0.05187187
dwi_sin,LinSVR,None,PCA,1.0,1.0,None,None,100,-0.71634879,0.01232881
dwi_sin,LinSVR,None,PCA,1.0,1.0,None,None,150,-0.71634879,0.01232881
dwi_sin,LinSVR,None,PCA,10.0,0.01,None,None,100,-0.68312329,0.02345782
dwi_sin,LinSVR,None,PCA,10.0,0.01,None,None,150,-0.63130746,0.03161672
dwi_sin,LinSVR,None,PCA,10.0,0.1,None,None,100,-0.69193243,0.03053671
dwi_sin,LinSVR,None,PCA,10.0,0.1,None,None,150,-0.63903333,0.03602058
dwi_sin,LinSVR,None,PCA,10.0,0.2,None,None,100,-0.68808836,0.04850306
dwi_sin,LinSVR,None,PCA,10.0,0.2,None,None,150,-0.63093887,0.04729186
dwi_sin,LinSVR,None,PCA,10.0,1.0,None,None,100,-0.71634879,0.01232881
dwi_sin,LinSVR,None,PCA,10.0,1.0,None,None,150,-0.71634879,0.01232881
dwi_sin,LinSVR,None,PCA,100.0,0.01,None,None,100,-0.68769122,0.02381656
dwi_sin,LinSVR,None,PCA,100.0,0.01,None,None,150,-0.62441593,0.03663347
dwi_sin,LinSVR,None,PCA,100.0,0.1,None,None,100,-0.69030421,0.03086912
dwi_sin,LinSVR,None,PCA,100.0,0.1,None,None,150,-0.63800209,0.03029352
dwi_sin,LinSVR,None,PCA,100.0,0.2,None,None,100,-0.68806362,0.04717553
dwi_sin,LinSVR,None,PCA,100.0,0.2,None,None,150,-0.6384045,0.06053106
dwi_sin,LinSVR,None,PCA,100.0,1.0,None,None,100,-0.71634879,0.01232881
dwi_sin,LinSVR,None,PCA,100.0,1.0,None,None,150,-0.71634879,0.01232881
dwi_sin,LinSVR,StandardScaler,None,0.1,0.01,None,None,100,-0.47225955,0.06536404
dwi_sin,LinSVR,StandardScaler,None,0.1,0.01,None,None,150,-0.47158421,0.07172407
dwi_sin,LinSVR,StandardScaler,None,0.1,0.1,None,None,100,-0.47111091,0.06397439
dwi_sin,LinSVR,StandardScaler,None,0.1,0.1,None,None,150,-0.47081943,0.07047129
dwi_sin,LinSVR,StandardScaler,None,0.1,0.2,None,None,100,-0.46542611,0.06250746
dwi_sin,LinSVR,StandardScaler,None,0.1,0.2,None,None,150,-0.46406413,0.06558068
dwi_sin,LinSVR,StandardScaler,None,0.1,1.0,None,None,100,-0.71634879,0.01232881
dwi_sin,LinSVR,StandardScaler,None,0.1,1.0,None,None,150,-0.71634879,0.01232881
dwi_sin,LinSVR,StandardScaler,None,1.0,0.01,None,None,100,-0.47754765,0.06953956
dwi_sin,LinSVR,StandardScaler,None,1.0,0.01,None,None,150,-0.47626526,0.07199245
dwi_sin,LinSVR,StandardScaler,None,1.0,0.1,None,None,100,-0.47763708,0.06613746
dwi_sin,LinSVR,StandardScaler,None,1.0,0.1,None,None,150,-0.47362489,0.07320481
dwi_sin,LinSVR,StandardScaler,None,1.0,0.2,None,None,100,-0.4709802,0.06553023
dwi_sin,LinSVR,StandardScaler,None,1.0,0.2,None,None,150,-0.46864008,0.06923727
dwi_sin,LinSVR,StandardScaler,None,1.0,1.0,None,None,100,-0.71634879,0.01232881
dwi_sin,LinSVR,StandardScaler,None,1.0,1.0,None,None,150,-0.71634879,0.01232881
dwi_sin,LinSVR,StandardScaler,None,10.0,0.01,None,None,100,-0.48345759,0.07002528
dwi_sin,LinSVR,StandardScaler,None,10.0,0.01,None,None,150,-0.47941353,0.07445925
dwi_sin,LinSVR,StandardScaler,None,10.0,0.1,None,None,100,-0.47607194,0.06679188
dwi_sin,LinSVR,StandardScaler,None,10.0,0.1,None,None,150,-0.47875356,0.07603008
dwi_sin,LinSVR,StandardScaler,None,10.0,0.2,None,None,100,-0.47260738,0.06718872
dwi_sin,LinSVR,StandardScaler,None,10.0,0.2,None,None,150,-0.46866428,0.07007836
dwi_sin,LinSVR,StandardScaler,None,10.0,1.0,None,None,100,-0.71634879,0.01232881
dwi_sin,LinSVR,StandardScaler,None,10.0,1.0,None,None,150,-0.71634879,0.01232881
dwi_sin,LinSVR,StandardScaler,None,100.0,0.01,None,None,100,-0.48234103,0.06872327
dwi_sin,LinSVR,StandardScaler,None,100.0,0.01,None,None,150,-0.48027043,0.07683497
dwi_sin,LinSVR,StandardScaler,None,100.0,0.1,None,None,100,-0.47936327,0.06729821
