variable,source_file,regressor,regressor__max_depth,regressor__min_samples_split,regressor__min_samples_leaf,score,std
dwi_sin,DecisionTree_13075251.txt,DecisionTreeRegressor,None,2,1,-0.64062563,0.0465749
dwi_sin,DecisionTree_13075251.txt,DecisionTreeRegressor,None,2,2,-0.63751983,0.04687405
dwi_sin,DecisionTree_13075251.txt,DecisionTreeRegressor,None,2,4,-0.63085821,0.04819411
dwi_sin,DecisionTree_13075251.txt,DecisionTreeRegressor,None,5,1,-0.60702286,0.0573595
dwi_sin,DecisionTree_13075251.txt,DecisionTreeRegressor,None,5,2,-0.62751681,0.05230324
dwi_sin,DecisionTree_13075251.txt,DecisionTreeRegressor,None,5,4,-0.63044278,0.04863465
dwi_sin,DecisionTree_13075251.txt,DecisionTreeRegressor,None,10,1,-0.62468411,0.04637076
dwi_sin,DecisionTree_13075251.txt,DecisionTreeRegressor,None,10,2,-0.60719769,0.05120567
dwi_sin,DecisionTree_13075251.txt,DecisionTreeRegressor,None,10,4,-0.61505453,0.04612532
dwi_sin,DecisionTree_13075251.txt,DecisionTreeRegressor,None,20,1,-0.61644472,0.04967323
dwi_sin,DecisionTree_13075251.txt,DecisionTreeRegressor,None,20,2,-0.61133449,0.0505571
dwi_sin,DecisionTree_13075251.txt,DecisionTreeRegressor,None,20,4,-0.59942807,0.05365709
dwi_sin,DecisionTree_13075251.txt,DecisionTreeRegressor,5.0,2,1,-0.49399195,0.06312319
dwi_sin,DecisionTree_13075251.txt,DecisionTreeRegressor,5.0,2,2,-0.49309571,0.06273972
dwi_sin,DecisionTree_13075251.txt,DecisionTreeRegressor,5.0,2,4,-0.49288538,0.06230862
dwi_sin,DecisionTree_13075251.txt,DecisionTreeRegressor,5.0,5,1,-0.49312048,0.06335844
dwi_sin,DecisionTree_13075251.txt,DecisionTreeRegressor,5.0,5,2,-0.49378166,0.06361681
dwi_sin,DecisionTree_13075251.txt,DecisionTreeRegressor,5.0,5,4,-0.49387241,0.0634955
dwi_sin,DecisionTree_13075251.txt,DecisionTreeRegressor,5.0,10,1,-0.49459285,0.0611431
dwi_sin,DecisionTree_13075251.txt,DecisionTreeRegressor,5.0,10,2,-0.4942939,0.06105692
dwi_sin,DecisionTree_13075251.txt,DecisionTreeRegressor,5.0,10,4,-0.49330624,0.06279516
dwi_sin,DecisionTree_13075251.txt,DecisionTreeRegressor,5.0,20,1,-0.49301472,0.06180719
dwi_sin,DecisionTree_13075251.txt,DecisionTreeRegressor,5.0,20,2,-0.49303699,0.06272334
dwi_sin,DecisionTree_13075251.txt,DecisionTreeRegressor,5.0,20,4,-0.49348841,0.0626793
dwi_sin,DecisionTree_13075251.txt,DecisionTreeRegressor,10.0,2,1,-0.58130761,0.05893233
dwi_sin,DecisionTree_13075251.txt,DecisionTreeRegressor,10.0,2,2,-0.57617153,0.05705204
dwi_sin,DecisionTree_13075251.txt,DecisionTreeRegressor,10.0,2,4,-0.57607312,0.06031155
dwi_sin,DecisionTree_13075251.txt,DecisionTreeRegressor,10.0,5,1,-0.56968866,0.05944225
dwi_sin,DecisionTree_13075251.txt,DecisionTreeRegressor,10.0,5,2,-0.57923018,0.06232026
dwi_sin,DecisionTree_13075251.txt,DecisionTreeRegressor,10.0,5,4,-0.57764876,0.06502972
dwi_sin,DecisionTree_13075251.txt,DecisionTreeRegressor,10.0,10,1,-0.57144039,0.06196811
dwi_sin,DecisionTree_13075251.txt,DecisionTreeRegressor,10.0,10,2,-0.56533172,0.06509919
dwi_sin,DecisionTree_13075251.txt,DecisionTreeRegressor,10.0,10,4,-0.57669384,0.06034921
dwi_sin,DecisionTree_13075251.txt,DecisionTreeRegressor,10.0,20,1,-0.57255015,0.0591605
dwi_sin,DecisionTree_13075251.txt,DecisionTreeRegressor,10.0,20,2,-0.57350187,0.05762392
dwi_sin,DecisionTree_13075251.txt,DecisionTreeRegressor,10.0,20,4,-0.5663519,0.06449934
dwi_sin,DecisionTree_13075251.txt,DecisionTreeRegressor,20.0,2,1,-0.63999963,0.04616588
dwi_sin,DecisionTree_13075251.txt,DecisionTreeRegressor,20.0,2,2,-0.63804947,0.05178149
dwi_sin,DecisionTree_13075251.txt,DecisionTreeRegressor,20.0,2,4,-0.62104265,0.05528008
dwi_sin,DecisionTree_13075251.txt,DecisionTreeRegressor,20.0,5,1,-0.6057574,0.05523375
dwi_sin,DecisionTree_13075251.txt,DecisionTreeRegressor,20.0,5,2,-0.63033797,0.05012401
dwi_sin,DecisionTree_13075251.txt,DecisionTreeRegressor,20.0,5,4,-0.63193014,0.0445254
dwi_sin,DecisionTree_13075251.txt,DecisionTreeRegressor,20.0,10,1,-0.6222873,0.04639133
dwi_sin,DecisionTree_13075251.txt,DecisionTreeRegressor,20.0,10,2,-0.60655336,0.05358297
dwi_sin,DecisionTree_13075251.txt,DecisionTreeRegressor,20.0,10,4,-0.61307772,0.04933695
dwi_sin,DecisionTree_13075251.txt,DecisionTreeRegressor,20.0,20,1,-0.61418441,0.05345519
dwi_sin,DecisionTree_13075251.txt,DecisionTreeRegressor,20.0,20,2,-0.61127697,0.04551806
dwi_sin,DecisionTree_13075251.txt,DecisionTreeRegressor,20.0,20,4,-0.60038467,0.05570321
dwi_sin,DecisionTree_13075251.txt,DecisionTreeRegressor,30.0,2,1,-0.63709951,0.05302877
dwi_sin,DecisionTree_13075251.txt,DecisionTreeRegressor,30.0,2,2,-0.6322465,0.04242498
dwi_sin,DecisionTree_13075251.txt,DecisionTreeRegressor,30.0,2,4,-0.62711007,0.04760958
dwi_sin,DecisionTree_13075251.txt,DecisionTreeRegressor,30.0,5,1,-0.6090857,0.05431064
